,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193112,-23.2639,-6.6185,-13.798,-30.1098,-24.617,-12.2812,-15.6696,-17.9851,-20.3708,-23.3014,-16.2774,-21.3191,-20.5993,-17.8261,-18.9219,-12.7827,-15.3954,-14.576,-20.8611,-26.4207,-13.3998,-15.8004,-23.0923,-25.4801,-30.9091
193201,-11.5385,13.0627,13.1481,16.0248,16.5366,-5.5468,-0.9308,9.8528,17.8432,23.2857,4.4288,4.0559,3.7719,2.7486,10.7989,-3.0669,-1.0729,5.0506,9.5554,5.6054,0.6791,-0.3647,7.9049,20.7545,7.8947
193202,-7.3529,-7.3684,4.6881,-2.1291,3.0959,-11.5219,5.1637,-1.321,-0.2361,-1.8646,-0.4164,3.3724,4.2042,2.1272,-1.7242,2.8403,4.622,-0.2495,-0.0731,2.7579,5.5917,3.4692,2.3584,-2.7496,14.6341
193203,-20.4023,-5.1168,-3.0999,-10.3721,-9.5015,-6.713,-18.6721,-14.0452,-5.9609,-13.36,-8.8602,-15.6972,-14.3343,-14.9047,-13.9935,-12.1591,-14.4649,-11.4618,-16.6395,-14.9642,-11.573,-12.5824,-13.2486,-23.5224,2.1277
193204,-40.4545,-14.7771,-30.3303,-23.805,-16.8095,-21.8385,-10.1655,-13.3106,-20.0041,-20.8874,-20.0563,-13.7817,-18.9045,-17.3513,-23.4926,-16.3734,-17.706,-18.4064,-16.0073,-20.6629,-19.8332,-19.3966,-19.3225,-23.488,-22.9167
193205,-7.6923,-28.7533,-5.9894,-12.2115,-4.9716,-13.7196,-23.6386,-15.34,-19.4039,-23.296,-24.732,-26.3311,-27.8743,-25.12,-23.5141,-21.2514,-23.5277,-22.9189,-23.4303,-35.5478,-24.0519,-22.2202,-34.7328,-39.1363,-10.8108
193206,34.8485,-16.5615,16.0154,-8.3513,3.26,-8.8424,1.0587,-6.3861,8.8547,7.5735,8.0604,5.3706,7.4747,7.7435,6.6188,1.546,4.4334,-2.3126,13.112,6.4043,0.2699,-3.4962,5.6437,9.414,21.2121
193207,114.881,15.0383,30.2551,40.7654,59.9345,34.804,32.8432,39.5654,51.396,70.3804,26.2261,30.9836,37.9817,52.1046,67.4569,29.317,29.3019,37.6539,67.5179,84.1143,26.6054,38.2373,55.0077,61.7717,98.0392
193208,79.9699,89.9279,111.7587,99.7437,118.8497,45.4881,73.3998,57.4511,62.9776,89.4062,55.2297,37.5362,46.5571,69.5773,80.7557,29.3765,39.909,60.4085,64.5722,100.7431,28.8221,43.4015,54.868,53.9295,65.3465
193209,-14.0873,-10.1339,-13.4275,0.9479,-12.7213,-3.199,-3.1895,-4.404,-6.9488,-13.8411,-4.1805,-7.9733,-2.4457,-9.3157,-6.9482,-0.904,-2.7433,-6.7549,-4.0032,-10.1502,-0.4391,-4.0912,-9.2592,-3.9066,15.5689
193210,-14.5588,-3.7527,-26.703,-20.0558,-19.3895,-16.7814,-20.964,-15.9661,-21.7451,-20.0605,-13.5529,-14.9503,-18.812,-21.524,-23.5876,-9.3167,-15.9068,-17.096,-19.4835,-25.0811,-11.0339,-10.2629,-15.7305,-17.9165,-30.0518
193211,-22.9701,-12.6915,-7.1044,-10.2612,-1.3537,-6.5584,-7.754,-4.9847,-7.3259,-17.0037,-3.8804,-0.241,-8.6791,-10.0128,-14.1429,1.2818,-5.3433,-10.0548,-13.3482,-21.3328,-4.1708,-5.2015,-10.1586,-8.049,-31.1111
